name,country,web_page,description,facultades_habilitadas
Universidade da Coruña,España,http://www.udc.es/,Acuerdo de intercambio entre la UM y Universidade da Coruña (España). Facultades admitidas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universitat Internacional de Catalunya,España,https://www.uic.es/,Convenio académico entre la Universidad de Montevideo y Universitat Internacional de Catalunya (España). Facultades UM habilitadas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
"California State University, Monterey Bay",Estados Unidos,http://csumb.edu/,"Movilidad académica disponible en California State University, Monterey Bay para no especificadas.",FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Case Western Reserve University,Estados Unidos,http://www.case.edu/,Case Western Reserve University (Estados Unidos) – acuerdo de movilidad. Facultades UM aplicables: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Drexel University,Estados Unidos,http://www.drexel.edu/,Acuerdo bilateral con Drexel University – Estados Unidos. Áreas UM admitidas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Florida State University,Estados Unidos,http://www.fsu.edu/,Florida State University (Estados Unidos) – acuerdo de movilidad. Facultades UM aplicables: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Fordham University,Estados Unidos,http://www.fordham.edu/,Convenio internacional con Fordham University. Facultades UM: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
George Mason University,Estados Unidos,http://www.gmu.edu/,Estudiantes de la UM pueden realizar intercambio en George Mason University (Estados Unidos). Facultades: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Northwestern University,Estados Unidos,http://www.northwestern.edu/,Intercambio con Northwestern University en Estados Unidos. Dirigido a: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
The Cooper Union for the Advancement of Science and Art,Estados Unidos,http://www.cooper.edu/,Intercambio con The Cooper Union for the Advancement of Science and Art en Estados Unidos. Dirigido a: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
"University of Minnesota, Twin Cities",Estados Unidos,http://www.umn.edu/,"Acuerdo bilateral con University of Minnesota, Twin Cities – Estados Unidos. Áreas UM admitidas: no especificadas.",FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
University of Missouri - St. Louis,Estados Unidos,http://www.umsl.edu/,Movilidad académica disponible en University of Missouri - St. Louis para no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
University of Montana-Missoula,Estados Unidos,http://www.umt.edu/,Estudiantes de la UM pueden realizar intercambio en University of Montana-Missoula (Estados Unidos). Facultades: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
University of North Carolina at Chapel Hill,Estados Unidos,http://www.unc.edu/,University of North Carolina at Chapel Hill (Estados Unidos) – acuerdo de movilidad. Facultades UM aplicables: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
University of North Carolina at Greensboro,Estados Unidos,http://www.uncg.edu/,Acuerdo bilateral con University of North Carolina at Greensboro – Estados Unidos. Áreas UM admitidas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
University of North Florida,Estados Unidos,http://www.unf.edu/,Convenio internacional con University of North Florida. Facultades UM: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Utica College,Estados Unidos,http://www.utica.edu/,Programa de intercambio con Utica College. Estudiantes de: no especificadas pueden postular.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Centria Ammattikorkeakoulu – Centria Yrkeshögskola,Finlandia,http://www.cop.fi/,Convenio académico entre la Universidad de Montevideo y Centria Ammattikorkeakoulu – Centria Yrkeshögskola (Finlandia). Facultades UM habilitadas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Hanken Svenska Handelshögskolan,Finlandia,http://www.hanken.fi/,Movilidad académica disponible en Hanken Svenska Handelshögskolan para no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Jyväskylän Yliopisto,Finlandia,http://www.jyu.fi/,Acuerdo bilateral con Jyväskylän Yliopisto – Finlandia. Áreas UM admitidas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Audencia Business School,Francia,http://www.audencia.com/,Intercambio disponible en Audencia Business School para estudiantes de FCEE (Economía/Gestión).,FCEE
Burgundy School of Business,Francia,https://www.bsb-education.com/en,"Convenio internacional con Burgundy School of Business. Facultades UM: Humanidades y Educación (FHUMyE), FCEE (Economía/Gestión).",FHUMyE;FCEE
De Vinci Higher Education,Francia,http://www.devinci.fr/,Programa de intercambio con De Vinci Higher Education. Estudiantes de: Humanidades y Educación (FHUMyE) pueden postular.,FHUMyE
EBS – European Business School – Paris,Francia,https://www.ebs-paris.fr/,Acuerdo bilateral con EBS – European Business School – Paris – Francia. Áreas UM admitidas: FCEE (Economía/Gestión).,FCEE
École d\'ingénieurs ESME Sudria,Francia,https://www.esme.fr/,Acuerdo bilateral con École d\'ingénieurs ESME Sudria – Francia. Áreas UM admitidas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Ecole de Management de Normandie,Francia,https://www.em-normandie.com/fr,Acuerdo bilateral con Ecole de Management de Normandie – Francia. Áreas UM admitidas: FCEE (Economía/Gestión).,FCEE
Emlyon Business School,Francia,https://montevideo.adv-pub.moveonca.com/report-page-1662/#,Emlyon Business School (Francia) – acuerdo de movilidad. Facultades UM aplicables: FCEE (Economía/Gestión).,FCEE
ESCP Europe,Francia,http://www.escpeurope.eu/,Estudiantes de la UM pueden realizar intercambio en ESCP Europe (Francia). Facultades: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Grenoble Ecole de Management,Francia,http://www.grenoble-em.com/,Convenio académico entre la Universidad de Montevideo y Grenoble Ecole de Management (Francia). Facultades UM habilitadas: FCEE (Economía/Gestión).,FCEE
Grenoble INP - UGA,Francia,http://www.grenoble-inp.fr/,Convenio internacional con Grenoble INP - UGA. Facultades UM: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Institut de Gestion Sociale Lyon,Francia,https://montevideo.adv-pub.moveonca.com/report-page-1662/#,Intercambio disponible en Institut de Gestion Sociale Lyon para estudiantes de no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Ipag Ecole Supérieure de Commerce,Francia,http://www.ipag.fr/,Convenio académico entre la Universidad de Montevideo y Ipag Ecole Supérieure de Commerce (Francia). Facultades UM habilitadas: FCEE (Economía/Gestión).,FCEE
Ircom École supérieure privée,Francia,https://montevideo.adv-pub.moveonca.com/report-page-1662/#,Acuerdo bilateral con Ircom École supérieure privée – Francia. Áreas UM admitidas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
KEDGE Business School,Francia,http://www.kedgebs.com/fr,Movilidad académica disponible en KEDGE Business School para FCEE (Economía/Gestión).,FCEE
NEOMA Business School,Francia,http://www.neoma-bs.com/,NEOMA Business School (Francia) – acuerdo de movilidad. Facultades UM aplicables: FCEE (Economía/Gestión).,FCEE
Reseau GES,Francia,https://montevideo.adv-pub.moveonca.com/report-page-1662/#,Intercambio disponible en Reseau GES para estudiantes de no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Sciences Po - Institut d'Etudes Politiques de Lille,Francia,http://iep.univ-lille2.fr/,Intercambio disponible en Sciences Po - Institut d'Etudes Politiques de Lille para estudiantes de no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Skema Business School,Francia,http://www.skema.edu/,Intercambio con Skema Business School en Francia. Dirigido a: FCEE (Economía/Gestión).,FCEE
Université Catholique de Lille,Francia,http://www.univ-catholille.fr/,Movilidad académica disponible en Université Catholique de Lille para no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
The American College of Greece,Grecia,https://montevideo.adv-pub.moveonca.com/report-page-1662/#,Movilidad académica disponible en The American College of Greece para no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Hong Kong Baptist University,Hong Kong,https://www.hkbu.edu.hk/,Intercambio disponible en Hong Kong Baptist University para estudiantes de no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Budapesti Gazdasági Egyetem (BGE),Hungría,https://uni-bge.hu/en,Convenio internacional con Budapesti Gazdasági Egyetem (BGE). Facultades UM: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
VIT University - Institute of Technology,India,http://www.vit.ac.in/,VIT University - Institute of Technology (India) – acuerdo de movilidad. Facultades UM aplicables: Ingeniería (FIUM).,FIUM
University College Dublin,Irlanda,http://www.ucd.ie/,Acuerdo de intercambio entre la UM y University College Dublin (Irlanda). Facultades admitidas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Reichman University,Israel,https://www.runi.ac.il/en/,Acuerdo de intercambio entre la UM y Reichman University (Israel). Facultades admitidas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Libera Università Internazionale degli Studi Sociali (LUISS) 'Guido Carli',Italia,http://www.luiss.it/,Convenio académico entre la Universidad de Montevideo y Libera Università Internazionale degli Studi Sociali (LUISS) 'Guido Carli' (Italia). Facultades UM habilitadas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Politecnico di Milano,Italia,http://www.polimi.it/,Politecnico di Milano (Italia) – acuerdo de movilidad. Facultades UM aplicables: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Università Ca' Foscari Venezia,Italia,http://www.unive.it/,Estudiantes de la UM pueden realizar intercambio en Università Ca' Foscari Venezia (Italia). Facultades: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Università Cattolica del Sacro Cuore,Italia,http://www.unicatt.it/,Convenio académico entre la Universidad de Montevideo y Università Cattolica del Sacro Cuore (Italia). Facultades UM habilitadas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Università degli Studi di Cagliari,Italia,http://www.unica.it/,Convenio académico entre la Universidad de Montevideo y Università degli Studi di Cagliari (Italia). Facultades UM habilitadas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Chuo University,Japón,http://www.chuo-u.ac.jp/,Intercambio con Chuo University en Japón. Dirigido a: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
